stat_id,stat_name,lon,lat,vs30
372,WRCS,175.647797,-40.950401,231.000000
373,WSFC,171.610992,-43.837299,231.000000
374,WSTS,174.784500,-41.278099,195.000000
375,WTES,174.774200,-41.281601,502.000000
376,WTMC,173.053604,-42.619499,267.000000
377,WTYS,174.781296,-41.295399,283.000000
378,WVAS,170.737198,-43.071602,374.000000
379,WVFS,173.350906,-41.620201,231.000000
380,WVHS,174.630005,-39.757099,260.000000
381,WVZ,170.736801,-43.074402,370.000000
382,WVZS,170.735901,-43.074699,374.000000
